text,class
كارثة متنقلة ها الفاسقة,tunisia
أولا كيفاش يطيح ؟,morocco
فنان تلقائي اللي في قلبو على فمو,tunisia
أهاه,algeria
شنو قالت ليك شنو قالت ليك,morocco
كشما عدبوه,algeria
مدوه بالهدرة,algeria
وانت الصادق مدرسة المشاغبين,egypt
هدر بصح,morocco
قتلها فلانة تقدري تمشي بيه,algeria
تبان هاكاك  يعني قرا في الجامع و في المسيد تاع فرنسا علابيها زوج كراطب ؟,algeria
اه مريم نسيت اصلا الحكاية,algeria
و الحروف لخرى,morocco
سمعي عيطي لنرجس وقولي لها رفيقة كتقولك تخلي لي الكسوة باش اماني تلبسها,morocco
الصورة التي عرضتوها عليه اوقح من الكلمة لي قاله عيب عيب,tunisia
لا لا متئترش يمكن عينيك حساسين صافي,morocco
مقريتيش ليوم,morocco
قالت لي خديجة شنو بغيتني نجيب ليك,morocco
قلت ليه بغيت نقول بلي شعر بنتك موسخ,morocco
يا ربي واش دارلي مع الصباح,algeria
عجبتني حلقة اللية حسيتها رايقة برافو حسين الديك واصل هكاك,tunisia
خيييييت ممسط,tunisia
أنا اللّى فوق ف دى البلد ..,egypt
هادي حلاوتها,morocco
وعلاش وليت,algeria
ماما ماما,morocco
"أذن الظهر، ولم يظهر بعد أحد من شباب 6 إبريل، اتصلت بهم فكانت جميع هواتفهم مشغولة، دخلت إلى المسجد الكبير المقابل لمنبى مجمع التحرير ""مسجد عمر مكرم"" ، صلينا الظهر، واتصل بي أحد أعضاء كفاية وعضو الحملة المستقلة لدعم البرادعي ليستفهم على مكان المسيرة، أخبرته أني هنا منذ مايقرب من 20 ق ولم يظهر أحد بعد، فقال لي : “ أنا عند مجلس الشعب ومفيش حاجة غير مئات من عساكر الأمن المركزي مانعين أي حد يوصل “ .. فقلت له : “ تاخد نمرة شباب 6 إبريل تكلمهم “ .. قال لي : “ ياريت “ .. أرسلت له الرقم ، واتصلت به بعد فترة أبلغني أن مكان المسيرة تغير، والمكان الجديد أمام مجلس الشورى .",egypt
ملا ملهط تدافع على المثلية الجنسية  لعنة الله عليك نعلمك انو سيدك احمد الاندلسي,tunisia
تبعي في المسلسل تاع واسمه هداك,algeria
جعفووووووووور,tunisia
اشبيه يقول خدم معايا بصراحة ياسر ماسط تسمع كان خدمت و خدمت _x000D_,tunisia
مكانش منها أدي,algeria
وياريتك تاخد توامك و حسام البدرى وأحمد على وشوبير ومرتضى منصور وأيمن يونس وخالد الغندور وبالمره روراوة وسمير زاهر ومدحت شلبى,egypt
هكذا تزيد ما تفراش قاع ، هذوك عندهم وهذوك عندهم,algeria
عاهرة بما تحمله الكلمة من معنى,tunisia
درك راهي العشرة,algeria
السهرية ما حلات كان بهشام الخلصي برجولية عندو وهرة في BEIN SPORT,tunisia
حتى أنا شوف شحال نحكمه مام بﺎ ساعة,algeria
عشت ايامي باحلم اشوفك وسط الدنيا الاولي,egypt
لقيت جوج,morocco
يا كلب يا مسّخ قمار في رمضان إنشاء اللَّه تلقاه في الدُّنْيَا قبل الأخرة يا فرخ لحرام يا رڤّاص,tunisia
انا دلوقتى فعلا بحب اشاهد القناة لان مبقاش فيها غير رياضه محترمه محايدة شخص و لا ليه فى الاهلى و لا الزمالك ولا اى فريق و لا له اى مشاكل مع حد رياضه للرياضه اشكر القناة انها انهت المهزله دى و انهت تعاقدها مع هذا الشخص لانه لا يصح ان نقول انه رياضى لان الرياضه تعنى الروح الرياضيه وليس تصفبة حسابات اشكرك قناة الحياه و اشكر مستشاركم الاعلامى المدافع عنكم بكل قوه ومصداقيه و عن حق و اشكر اليوم السابع لنشر هذا الخبر,egypt
الموضوع بساطة أن تلك الدول تحترم قوانينها ومواطنيها والنظام مطبق ومحترم على الجميع الكويت مش عايزةمشاكل على أرضها ولاتريد الدخول فى مشاكل أخرى مع دول ثانية ولايقال أنها ترعى حركات معارضة ضد أى دولة فالجماعة بتوع الافلامانات والاشتغالات والحبشتكانات موش هيصدروا المشاكل للدول الثانية ويرجعوا يقولوا الكويت قالت وعادت الكويت موش مسئولة عن الافلام الهندى بتاعتكم علشان توزعها,egypt
قوة في القحب والوسخ تفوووه,tunisia
و يحطنا في نص لوتوروت,algeria
يا سمير راك طيرطلنا الكيف .. خلي الناس تكمل جملتهاااااااااا.. يا رسول الله خلي العباد تتكلم .. تجي في شطر الفكىة وتعطي سؤال تافه ماسط ... اصبر على الأقل حتى ليكمل ومباعد ناقشو وأعطي رايك واسال .. المهم اسكت شوى حتى ليكمل الضيف كلامو,tunisia
كيفاش عامل الراجل هدا,algeria
مزيان قولي ليها تمشي و تعرض عليها,morocco
ما عليناش نفرضو حصلتي علا فرصة باش تمشي ل تماك,morocco
بغيت نتسجل ف شي حاجة تعاوني,morocco
كي يجيو تمانية من طناش,algeria
هي اصلا اصلا ما فهمتش ديداكتيسيال,algeria
خدمتيه انت,algeria
راحت لدارها,algeria
غدي نبقا متبتة أنا متنعرف حد,morocco
لو جبنا وزير نقل انجلترا وعيناه وزير النقل فى مصر سوف تقع الحوادث ايضا لان العمال والمهندسين فى السكة الحديد اعندهمش ضمير ولا اخلاق ولو كل واحد شاف شغله كويس وانتبه من اول رئيس الهيئة الي عامل السنافور والتحويلة واتقي الله فى البشر لسارت الامور على خير مايرام الا ان كل عامل فى السكة الحديد والمهندسين يتقاعسون عن تأدية واجبهم بحجة ان بيشتغلوا على قد فلوس الحكومة ولا يراعون الله .,egypt
شنو قلت أ بسمة شنو قلت,morocco
تضيع في عمرها كاش ما راح تصيبي كيما الطاهر,algeria
حملت أعباء الدنيا على كتفى. ياضنايا ياكبد امك ياخويا .تصدق قطعت قلبى .المناديل خلصت من كثرة البكاء. انتم المنعمون فى مصر . القابضون على خيراتها. المهيمنون على شئونها. الناهبون لثرواتها. اتوقع بعد قرار اعتزالك العمل الاعلامى ان تخرج الجماهير من كل حدب وصوب .وسوف تتوقف عقارب الزمان عند الدوران وتكف الشمس عن الطلوع والقمر عن البزوغ وستجدب الارض ويعم القحط والجفاف ربوع البلاد. نستحلفك بكل غالى ونفيس ان تعود ولا تتركنا كالايتام على موائد اللئام.,egypt
يجيبو ليك في بواطة,morocco
حتى حاجة,morocco
واش شفتيه,morocco
ياه صح,algeria
غادي نڭول ليك شي حاجة إلى كنتي معقولة غادي يخليوك عندهم,morocco
أيا في أمان الله أيا باي باي,algeria
"برافووو طلع أرجل من برشا ""كﻻب""",tunisia
و هاد الراحة النفسيت رجعاتني تنبدع فيها,morocco
أيوب ريحت رجليك,algeria
هنكون كويسين لما ربنا يكون عاوز ده ..مش ببعد او بقرب حد مننا   :')),egypt
كنت نسنا فيك,algeria
راح نكا ونمل نحن ايها الجمهور الاهلاوي من الكلام,egypt
مراد واقيلة راح يرقد,algeria
نشتيه انا,algeria
كلشي في ماما زوين,morocco
البيضاء زوينة,morocco
أما عن الشيخ الذى أساء الى نفسه والى الدين نقول له كما قلنا سابقاً هذه سقطة من سقطاتك الكثيرة ..ومسلسل شوبير ومرتضى منصور أصبح سخيفاً للغاية وكنا نتمنى منك ياشيخ أن تسعى وتجاهد لإصلاح حال الغلابة الذين لايهموكم فى شىء يكفيك لندن وباريس وغيرها,egypt
هاهي شفتها,algeria
إيه هاديك مليحة  تشبه للريحة لي جابها بابا من فرنسا,algeria
"سيتكوم هايل و مقلة ضحک """,tunisia
مش مهم دلوقتى مين الاحق بالوصول لكأس العالم لكن التهجم على شخص علاء صادق جريمة بكل المقاييس لانة صاحب رؤية وفكر وقبل كل هذا وذاك مؤهل للنقد ولم يكن فى يوم يكتب لحساب ناد أو فرد,egypt
 فعلا موت علشان ترتاح يلا يا تقي احنا طولنا اوي,egypt
لا وشيا أنا نحب لو كان متخلطوش ليسوجي,algeria
يا راجل ده أنت لما تشترى سيارة ومصنعها يعطيك كتيب أرشادات ويقول لك كيف تتعامل معها لآنه مصنعها ويعرف عيوبها ومزياها,egypt
أوﻣﭙﻠﻮس انتيا جستيون عندك ياسر ليماتيار تاع الحفيضة,algeria
بس الوعد بالاياب,egypt
رااااااااااااااااااااااجل و كفى,tunisia
برهوم متسرحش برشة محلاها ربي ها الزين,tunisia
دخلت في التوموبيل تاع راجل سميرة ادقﺪقﺖ قاع,algeria
بطلت الخدمة,algeria
شي ناش وحداخرين,morocco
اه لبيبة,morocco
ف دوك اليوماين لقيت راسي وقتما تنرجع تنلقا راسي تنحط راسي فوق المخدة,morocco
يانهار إسود يانهار إسود,egypt
المرة لي فاتت ملصيتوش,morocco
وجيهة الجندوبي برفو اما الفاهم امسط واحد في المسلسل بسراحة,tunisia
ممثلة ناجحة و محترمة و مهضومة. برافو وجيهة و ربي يوفقك .,tunisia
ماما أعطيني فرشيطة تعيشي,algeria
لو كنتو آدميين كان حسام فضل يخدمكم طول عمره ابو تريكة اللى بتعبدوه لو بكرة راح الزمالك هيبقى شيطان رجيم ودا مش غريب عليكو وحسام هيوريكو,egypt
مساء الخير,algeria
صح يطلعوا لاموايان,algeria
معلم اما غاب لفترة لخرة عالساحة نشالله يرجع و بقوة زادة,tunisia
لا أنا متنغسلش لماعن,morocco
كاين دي رومارك بصح ما زال ما كتبتهم  كي نكتبهم نبعتهم لك إلا حبيت,algeria
بااااا رشا تموسيط وتجبد في فريق اكبر منك.  تي سقف داركم يتيح ولافريقي متا تيحش.,tunisia
منيحة هادي براسك سور,algeria
آه هو,algeria
حتى في الأزمات آم عايشين خير منا,algeria
وجدنا كلش شرينا اﻟقﺎطو و ليموناد,algeria
شكر ياحمد ياسيد انامن نفس البلد واعرفك كويس,egypt
معلم بلطوش,tunisia
مازالك معاها,algeria
ولسه ياما فى الجاب ياحاوى كلها أيام ويبداء نشر الغسيل,egypt
جايبين مثلي مش راجل و المشكلة برشا موافقينو تفوه عالممارك الي يشجعو عالقباحة ما فاهم الوضع كان وليد التونسي,tunisia
تففففففووووووووو عليكم واحد واحد .,tunisia
والله الكلب  حاشاكم  افظل  وأشرف من هالوقح  الرهط المدعو  الجويني,tunisia
طحان بن علي,tunisia
اللي كتسكن ف واد القبة,morocco
سيري ترتاحي الالة سيري,morocco
عندما تذهب الى اى طبييب يخبرك الآتى ابعد عن اى توتر (ازاى ) ابعد عن التدخين ، ابعد عن المشروبات الغازيه ، ابعد عن الماء المثلج ، وبرضه هتتعب ومفيش فايده 0,egypt
على خاطر هو ديجا من نار يخي من نار ما يقدرش يدخل فيك فهمتني كيفاش,algeria
تقدو نستعملوه باش نكتبو الدريجة,morocco
حنا شاك سمانة نديرو درك نطلع نشوف,algeria
قدّاش تافه تافه تافه مسطلها بالتفاهة وقلّة الحياء,tunisia
نتكلو عليك,algeria
السراول لي قربات تطيح و الشعر المشعكك,morocco
هوما على قﺪاه راحو حتان ما تغداوش,algeria
شوية الكتاكيت اللي عمالين يتكلموا على البردعي وبيمدحوا في حسني مبارك واضح ان انتم من الاقلية الشبعانة في البلد من اللي بيخدوا فتات الثروات اللي بيجمعها شوية النصابين اللي في الحكومة والالاضيش اللي حواليهم فياريت انتم متتكلموش تاني خالص وتحطوا لسانكم جوة بؤكم وروحوا اقعدوا تحت رجلين جمال وعز ..وسيبوا البرادعي والشرفاء اللي حواليه يشتغلوا,egypt
امسط مالمرزوقي,tunisia
فكرة فيها ف لول ولكن ملقيت والو,morocco
برافو توفيق ميحيس بزوالي كان زاولي,tunisia
توجع الرأس,tunisia
عطيتي تيليفونك ل ماماك,morocco
اولا مرحبا بيك نغمة مسيحى ومسلم سيبك منها امريكا و انجلترا ودول اوروبا مفيش وزير واحد مسلم ؛ اما فى مصر تم تجربة وزراء مسيحيون للاسف كان الاداء سيى جدا وعلى راسهم الرجل السيى يوسف بطرس غالى على فكرة لى اصدقاء كثيرة يكرهون هذا الرجل ؛مع ارق تحياتى,egypt
اللة يكرمك يااخ ايمن سيبك من الفلسفة السوفسطائية المظهرية اللي انت بتحاول تصبغها علي شخصيتك بس للاسف مش ماشية معاك ابدا وبدل ماتقول كدة للمخرجين انصح اللاعبين خليهم ياخدوا بالهم من المباريات بدل الاعتراض والخناق واللة خسارة فيهم الكابتن حسام حسن,egypt
بصح لي من هيه أديك لي شريتها من تونس,algeria
كتسمع شي حوايج مكتيقش,morocco
تسحقهم وشبيك ما جيتيش قول أ أيوب,algeria
كيما ليا أنا نتعلم حوايج بزاف منها الفرنسي و لوﻧقلي,algeria
منية قﻠﮭﺎ كي عاد الطفل حيكمل بعتيلي الرفيس,algeria
 : ربنا بيبعتلك علامات واضحه جدا اوقات وانت بتصمم تكمل علشان غبى,egypt
راح ترقدو كيفكيف,algeria
وين؟ هنا ؟  يديرو لكلاسمون,algeria
"بس يا رايت لما يبعتوا العروسة ما ينسوش الصلاطات والبابا غنوغ , بصراحة الواحد شامم ريحة",egypt
ماسطة يا أعلام العار,tunisia
هكذا يعلم اساتذه الجامعات الطلاب كن سلبيا وامشى جانب الحيط تبقى حبيبى تكون طالب ايجابى وتفكر مجرد تفكر انت كمان بتفكر تروح ورا الشمس سيب اللى يموت يموت وكن فى نفسك,egypt
مزيان أ فريال هي غدي تكري كسوة,morocco
وين تحب في الدار ولا في أي بلاصة,algeria
مشاالله عليها اسمر يا اسمراني,tunisia
مش عادية برافو,tunisia
هي لي شافتو,algeria
تشفاي مين دخلنا أول مرة قالت لك أ سوسن أو مسلسل مليح يلعب في أبوظبي على تمنية تبعيه,algeria
نظف برنامجك يا سامي من الفساد مش غشك للدولة تحطو في التلفزة,tunisia
حرام الظلم حرام هذا التجاهل الشديد لنادى كبير جدا فى حجم نادى الاتحاد السكندرى .. اولا من جهة الصورة المنشورة دى صورة نصف الموجودين فيها تركوا الاتحاد السكندرى وبيلعبوا فى اندية اخرى .. والجريدة من اول يوم فى الدورى وهى نازلة نشر لهذه الصورة القديمة ... ومصممين عليها وكأن الاتحاد مايهمهمش لآلآ يا حلوين مشجعى الاتحاد السكندرى موجودين فى امريكا واوربا واسيا بالملايين .. وارجعوا للزيارة اللى عملها محمد ناجى جدو لإنجلترا وانتوا تعرفوا .. وياريت بس تدونا نصف اهتمامكم بنادى الزبالة ...,egypt
بربي يزيو من النفاق امو وين الأمن يلاحق في مجرم يخي هما وحوش خليو الناس تخدم والحق في امو اللي مهيش متلاهية بصغيرها,tunisia
هو قﻠﮭﻢ ديروهلي ﺗﭙﻲ,algeria
غير واحد يشعل الضو تقول شعللي النار في عينيا يسطرو خلاه ديما هكا لاقريب اطيحلي على عينيا و ودنيا يتبوشاو تسمى المخ تقاس,algeria
اه يا ربي كون كنت عارفة كون وصيتك تسوليها على كساوي قد أماني,morocco
أيوة الجزائر أحق حتي لو كان المنتخب المصري أفضل، لأن كاس العالم كان ليها تصفيات من ست مباريات وسابعة فاصلة،وماكناش أحسن,egypt
واش عرض على كلشي صحابو,morocco
آه سور بﺎسكو شافية قﻠﺖ بابات حفيظ ترشح بصح نسيت لشكون,algeria
والصين لم ينصلح حالها الا بهذا الأسلوب مع الفارق- ان مخالفات مثل التي رأها السيد الوزير فى المدارس- عقوبتها هناك ((الأعدام))- لآنه مال الشعب (من الضرائب) يهدر فى رواتب ناس لاتراعي الأمانه فى عملها - يعني احنا بنتسرق بايدينا!!!,egypt
تهبل فلة محلاها كلامها,tunisia
توفيق الغربي ممثل فاشل و فكاهي ماسط لاسط,tunisia
تحية  و احترا م  للباجي,tunisia
ريم الرياحي وحدها في الزين و الوهرة كلامها منطقي و معقول,tunisia
والله نعرف وحدة كانت تسكن قدامنا بكري جابت غير لبنات,algeria
أني حتى أنا ما تغديتش كلينا لوبيا حنا في الدار,algeria
كانز دينار,algeria
و أنا شكون عرفني,morocco
ايه نورمال,algeria
أول حاجة غدي يسولوك غدي يقولو ليك علاش جيتي ل هنا,morocco
قالتلنا اهدروا مع مسلاتي,algeria
فنانة بدون تاريخ لا مستوى و لا اخلاق.,tunisia
و قلنا حنايا وين راهي هاد الطفلة,algeria
حتى كون جات صح نسا راح يلقاوه لابﻮليس,algeria
اقسم بالله العلى العظيم لو كان الوزير ده مسك الوزارة من زمان كنا اترحمنا من الوزير السابق اللى بدعى عليه ليل ونهار كل اللى كان فالح فيه يدلع فى العيال ومنع عقاب الأولاد لحد ما بأ المدرس هو اللى تحت رحمة التلميذ وفى الأخر حطلنا النظام المتخلف اللى ما يفرقش عنه هو شخصيا ال ايه تقديرات وحسبى الله ونعم الوكيل ما عدناش بنعرف عيالنا جابوا كام بالظبط فى الأمتحانات بيستخبوا ورا التقديرات يعنى ايه عيل فى تانيه ولا تالته ابتدائى يجيلى جايب جيد جدا ولما اروح اسحب ورقه من المدرسه الاقيه ساقط فى المادة و المدرس رافعة بواسطة اعمال السنه مجامله بالذمه دة يبأ عدل وبعدين نظام التقديرات ده مبهم وغير اضح يعنى مثلا لو ابنى جايب امتياز معنى كده انه من اول 85 درحه من 100 مثلا طيب وهو الولد كده يبأ شاطر؟؟؟؟؟؟؟؟؟؟؟؟؟مع مراعة انى اتكلم بالذات عن مرحلة التعليم الأبتدائى,egypt
محمد شعبان لاعب بتروجيت يعرقل محمد خليفة وهو متجه في انفراد بحارس بتروجيت ويتمختر الحكم ويطلع ...هااااااااااااا انذار يا راجل يا ......,egypt
ؤينا معاكم و يقويكم على فكرة الحزب موش بيوكل حد احنا اللى بنوكل الحزب,egypt
ما عطاوكش الكونفوكاسيون,algeria
معنهاش الحق حيت عندها لسانس علوم سياسية ديال نضام قديم,morocco
نروحو قاع سليمة أنا تاني عييت,algeria
آه مكانش لخرا,algeria
بعد فشل الشرطه على المجرمين والتعاون معهم على الهروب سوف نفتح مدرسه جديده لللاجرام لكى نستطيع الدفاع عن انفسنا وسف يكون قائد هذه المدرسه بلطجى احمونا ياااااااااااااااااااااا حكومه من اللى بيجرلنا من بلطجيه كفرعصام وتجار المخدرات اللى فيها ودا طلب استغاثه وكمان طهروها من الخفر اللى دايما واقفين ضدنا ومش معانا وبيساعدوهم,egypt
وعلاه ما شريتيش واحد,algeria
في اللول قلت البنت مكتقراش,morocco
شهرين تقريبا و هوتيرقيها,morocco
آه ينقص لي أو لازمة لي ماساج سينون كيما هكا نحبس خلاه أني عديكا حابة نزرب أنا,algeria
السلام عليكم واش نت بخير أ زكي أهلا أ ميدو وش نت بخير أ كادي,morocco
المهم أنا قلت لنصيرة أعطيلو التوموبيل يجي بيها,algeria
طلع المورال والله عجبوني ليجون جاو  بكري الصباح,algeria
المهم نشاتيو حنايا شويه,algeria
هاو لقطن,algeria
حنا أول نوفمبر,morocco
ممسط ومبلدك وهف يلمك جمهووور يحب يقلك تڨعدي يااا حنانة --' يااا عيشة,tunisia
تراباوووو و معادش تعديو تصاور العرا و القرا و قلة الحيا و تستفز بسؤلاتك متع البلادة و الركاكة و البهامة و التسطيكا البقري يا امين قارة يا راس اللحم و تحكيو على الحترام هبطت عليكم التربية تستاهلو مصاب قاللكم اكثر من هكا باش تعرفو شتعديو في التلفزة,tunisia
برافو رجال الشرطه ولكن ياجماعه ليه استنيتم لما البلد كلها بقيت مدمنين,egypt
لي من هيك الروز مليحة شوية,algeria
عندي قﺮجومتي و عندي أدي,algeria
أنا عندي تليفون,algeria
البارح وجعني كيما نحا الخيط,algeria
محلاك مروى و نشاء الله من حسن إلى أحسن :) (y),tunisia
وش قرقشتها و ش قﺘﻠﻬﺎ,algeria
بصح ما عندكش لوشوا أجون دو سيزي و قابلينها,algeria
نحكيوا على االخبز,algeria
قلت بلي صديقات مقالوش ليه غادي يرفض يتوقف ليم,morocco
قلت لهابحال هذ الشيء ما تيقولوش الناس عليه صافي تيقولو تبارك الله تيقولو مستحيل,morocco
ليلة كاملة,morocco
شحال نكرهم لي يديرو هكا,algeria
متشوفش القرعة هاديك القرعة كتعمر هي تباع,morocco
ما عادش فيه بساطة بكري و الأمان الي يخصنا درك,algeria
باش ندي  ديبلوم نخدم بيه,algeria
كتعرفي بنت عي هديك لي فيها مرض ف عينيها عندها ولد كبر من ليدو ب عامين,morocco
ايه قتلتني بالضحك,algeria
آما هوما ﻟﻴﭙﻮست لي ناقصين تاع الكونتابيليتي,algeria
يا ريت ماكنت قابلتو.....كملوا انتو بقا انا زهقت,egypt
لا وجدتو أنا و جو,morocco
ملي يسالي العقد جددي عقد اخر مع الخواص,morocco
أي مشي ساهلة تانا مرا ﺗقﻮل لراجلها روح ازوز وحدة أخرى,algeria
كيما ليا أنا نتعلم حوايج ياسر منها الفرونسي و لوﻧقلي,algeria
سليم ، ياسين ، بن يوسف,algeria
قتارح نت أ مراد,morocco
وقتاش بدا هدا,algeria
لازم نونتريني,algeria
تحيا لكي فلة,tunisia
يا وعلاه,algeria
ﻟقى راحتو لهيك,algeria
لقد انتشر فيديو زياره وزير التعليم للمدرسه فى حدائق حلوان ورأينا ورأي الناس فى الخارج حال المدرسين والمدير.. اللي الواحد منهم لسانه متر ويتفلسف وينظر ويتكلم عن الفساد- وسايبين شغلهم والمدرسه مزبله.. وهم اصل الداء وسببه!!,egypt
يبقى شباب مصر عندهم حق يعملوا اكتر من اللى بيعملوة,egypt
و تجيك الخدمة لالا أﻣﭙﻮسيبل لازم الكونكور لي يجي تجوزيه,algeria
ماشاء الله يعطيك الصحة…,tunisia
اه إدا هو لي خدام كان تيسحاب لي هو طبيب تنهدر على الطبيب,morocco
"""الصراحة...فسدتها خميسة_x000D_",tunisia
بالصح بعتلك الأول في لاليست نورمالمون هداك هو لخر,algeria
. شكيب يوتر الأعصاب ..مقلق مقلق ....مقلق مقلق يفدد  ....فدة ...غمة على القلب,tunisia
ها الطفل قلولو يسكت امان ناقصين احنا مصاطة,tunisia
قالت لي أم درك يجيبوا مازالو ما جابوش الدوا وين تخدم صحبتها أديك,algeria
سافا  قالت لي اخدمي الخدمة كامل أومبعد عاودي كي تكبري لاتاي باش تقدري تكوﻣﭙﺎري,algeria
لغدليه رجعات من العرس و عينيها قد هاكدا,morocco
ما فاقولوش من داخل ما شافو حتشي قﻠﻚ الطحال ﺗقﻌﺮ,algeria
أنا البارح سمعت عبدو يهدر قال لي يديكوديو ليميساج لي يجيو للوالي حوايج كيما هاكا,algeria
وجوه اللوح  !!!!,tunisia
تفرجت ف مسلسل شنو وقع,morocco
أنا نقول على ايامات يسقط النظام تاع سوريا,algeria
قادرين يحكموك,algeria
النقاب حاجه و اللبس الضيق حاجه تاني خالص,egypt
لا ماشي هكدا من الصباح,morocco
اهم حاجه دلوقتي ان العربية النقل تتجاب,egypt
كل مشكله وفيها اجنبي ليه عندكم الجواب,egypt
فيما يخص للأب فأقول له ربي معاك يا حنين انت أب  بأتم معنى الكلمة وصدقني من رغم المشاكل وربي أعطاك نور وزهرة وهرة ووقار قوي فاخي واصل على حبك لأبناء ك وربي معاك,tunisia
لا مزال غدي توجد المقرود نهار الجمعة بش تبقى الحلوة طرية,morocco
ما ارزن من لطفي العماري كان لطفي العبدلي ،لطف و برة ربي يصبرنا.,tunisia
كانت هدى جارتنا تشوفي كانت حاكمة كيما هكا تاع الحضانة تاع السنة الأولى و التانية و التالتة مسكينة تشوفي أي عاملة لهم وحد السياسة أي يموتوا علاها أكي سمعتي يموتوا علاها نيستي نيستي,algeria
التّملّق و الإذلال,tunisia
في الصباح درتلهم محفوظات و في العشية عندنا امتحانات سمانة كامل,algeria
واش كيتغلى هذ الحليب,morocco
خديجة قالت لي كيما أك,algeria
ليامات هدي كنت في قالمة في الجزاير وين تروحي كلش كيف كيف ما يتبدل والو,algeria
يعنى لا قادرين تعملوا حضاره و بهدلتونا معاكوا لكن حتى الاثار الموجوده بالفعل مش عارفين تحافظوا عليها,egypt
شوية كاين حوايج ما تندارش,algeria
أدي خمسة و عشرين نلف اداها,algeria
شفتيه,algeria
فعلاً يا دكتور في الوقت المناسب جدا و إن كان متأخر أوووووووي موضوع التوحد بين القوى المعارضه ده كان لازم يتم من زمان و يا ريت الآن يتم إنقاذ ما ضاع و المهم مش الأسماء لكن الدكتور البرادعي شخصية نظيفة و من خارج النظام و بينادي بمطالب جميع القوي الوطنية,egypt
ولي للي قبلها سينون نكتبها بيدي,algeria
سي نورمال أنا تاني نضت بكري و ما ريحتش مي واش نديرو الكور تاعنا والف هدا الريتم,algeria
يعني واش راح يديرولو,algeria
خالتك مسكينة من مشكلة ل مشكلة,morocco
كيطبقوه بشكل عادي,morocco
أقسم بالله أن كل واحد عندو شي حاجة,morocco
مهبولة أنايا  نهدر وحدي,algeria
تحبي بزاف تبدلي الألوان سليمة,algeria
المفروض كل هذه اللقاءات هي للتقارب وليس للتنافر ، نتمنى أن نشاهد مباراة تليق بالفريقين والأحسن هو الجدير بالفوز الزمالك أو المولودية سابقا .....العالم كله يتفرج علينا وخاصة في أرض محايدة ، ويجب أن نعطي صورة بأن ما يسمعه وما يقرأه الأفارقة في الاعلام عن التوتر بين البلدين هو مجرد كلام فقط وأن الشعبين أكبر بكثير مما يتداوله الاعلام الرياضي ، مبروك للزمالك مبروك للمولودية ...,egypt
اذا كنت تستعمل مياة كثيرة فانك تحاسب عنها كلها حسب الشريحة ولكن العجب اذا كان استخدامك بسيط فانت تعاقب عليه بالمحاسبة عن الحد الادني والغريب لو عندك منزل مكون من عدد من الطوابق فانت هنا تحاسب بالطابق ودن النظر الي الاستهلاك ده فى حاله الاستخدام القليل واذا كان الاستخدام كتير حسب الاستخدام احنا فى مصر لنا نظام غريب كل الدنيا تحس على الترشيد فى استخدام المياه ولكن في مصر فى عقوبة وسلملي علي اللواء احمد عابدين رئيس منطقة الدقلهلية وحسبي الله ونعم الوكيل,egypt
واش من بروبلام مراد,algeria
لا تعيطي لا تسقسي,algeria
مايعرش يحكي و مايحترمش الناس الي تحكي ... ياسر يعمل في بلنجوات ... ويني مايا ... رجعولنا مايا ... الانسان هذا عصارة متع ادمغة فارغة و سطحي .. و نهضاوي .,tunisia
حنا كنتسناو,morocco
إنا ساعة مشيتي,morocco
نgولو خليك غادي هاذيكا هيا بلاصتك اللي تليق بيك التوالات _x000D_,tunisia
"دى , لا تخدع نفسك يا حماقى فأنت بالفعل أستخدمت سياسيا , ضد شرفاء مصر",egypt
الكلكم منافقين في البﻻتوات تحكوا زعمة على غﻻء المعيشة والبطالة وانتم تضربو في الفلوس يا كﻻب,tunisia
اه هو لفراش,morocco
وجيهة الجندوبي ما انّجم نقوللها كان برافوووو و بتوفيق نشاء الله ^_^ <3,tunisia
ما تروحش خلي التوموبيل,algeria
إيه,algeria
على السبعة و لوخر تانا على تمنية,algeria
سمعت باللي المعلمين يديروا ليكور للتلاميد نتاع السنة الأولى,algeria
يخي كي جيت معاك خليت الميكرو في لاشومبر تاع منال,algeria
الشيب والعيب.. وبئس المصير,tunisia
جعفور عسل  حتى الميت يسمعو يفز خاطر جعفر مولا العز ربي يخليه للناس اللي يحبوه :*,tunisia
وسالته انته مبسمعش عن كرة القدم واللى بيحصل فيها ؟ فقال اكدب عينى وودنى لانى عاشرت الناس دى واعرفهم كويس ست سنين وهم اكتر ناس بيحبو مصر والمصريين وعشان كده انا عمرى ما اصدق كلام الممثلين الصيع دول !!! وم,egypt
مرا بألف راجل يعطيها الصحة,tunisia
اطيب الغداء سح و تجي,algeria
مجلس شورى ولا مجلس ايه كلهم بيمحون بالتهام المواطن بدون مضغ لانه بدون عضم والله يعينه ما اسهل هضمه بكلمتين.,egypt
حتى مرواني نهار تقرينا نشوكاها ﻧقولي لها ماكش شافية عليا وشبيك,algeria
شوف يا حسام ما تتعبش نفسك سعد زغلول قالها (ما فيش فايده),egypt
خرجت أنا خرجت على الزوج قلت صايمة راقدة برك,algeria
ﺣقا ماما هاديك لي وصتيني نسقسي عليها ويدة راهي تسلم عليك,algeria
ويعلم الحكام في مصر يبطلوا قبضوا من الاحمر الاهلاوي,egypt
أنا لانفورماتيك سمعت باها أول مرة كيما كنت دوزيام آني,algeria
